,county_state,county,state,state_long,total_zipcode_score,id
297,"Buckingham County, VA",Buckingham County,VA,Virginia,0.44649687347115097,51029
298,"Bucks County, PA",Bucks County,PA,Pennsylvania,0.655631494242633,42017
299,"Buena Vista County, IA",Buena Vista County,IA,Iowa,0.48814665437830534,19021
300,"Buena Vista city, VA",Buena Vista city,VA,Virginia,0.5102304287233318,51530
301,"Buffalo County, NE",Buffalo County,NE,Nebraska,0.5438880650102716,31019
302,"Buffalo County, SD",Buffalo County,SD,South Dakota,0.2501804232310257,46017
303,"Buffalo County, WI",Buffalo County,WI,Wisconsin,0.5147625070098267,55011
304,"Bullitt County, KY",Bullitt County,KY,Kentucky,0.6197547707548223,21029
305,"Bulloch County, GA",Bulloch County,GA,Georgia,0.5532101560537336,13031
306,"Bullock County, AL",Bullock County,AL,Alabama,0.3952874461116941,01011
307,"Buncombe County, NC",Buncombe County,NC,North Carolina,0.5780294077768326,37021
308,"Bureau County, IL",Bureau County,IL,Illinois,0.4624305882352941,17011
309,"Burke County, GA",Burke County,GA,Georgia,0.3871420341517672,13033
310,"Burke County, NC",Burke County,NC,North Carolina,0.4903984127873515,37023
311,"Burke County, ND",Burke County,ND,North Dakota,0.5762585546218488,38013
312,"Burleigh County, ND",Burleigh County,ND,North Dakota,0.5071109913116447,38015
313,"Burleson County, TX",Burleson County,TX,Texas,0.5721223461344365,48051
314,"Burlington County, NJ",Burlington County,NJ,New Jersey,0.6296011592733711,34005
315,"Burnet County, TX",Burnet County,TX,Texas,0.5488218867028096,48053
316,"Burnett County, WI",Burnett County,WI,Wisconsin,0.4759677332716717,55013
317,"Burt County, NE",Burt County,NE,Nebraska,0.4852181848739496,31021
318,"Butler County, AL",Butler County,AL,Alabama,0.4066548981542655,01013
319,"Butler County, IA",Butler County,IA,Iowa,0.5001272738276658,19023
320,"Butler County, KS",Butler County,KS,Kansas,0.5146340333462043,20015
321,"Butler County, KY",Butler County,KY,Kentucky,0.4514778369439156,21031
322,"Butler County, MO",Butler County,MO,Missouri,0.3596152941176471,29023
323,"Butler County, NE",Butler County,NE,Nebraska,0.4818765689111255,31023
324,"Butler County, OH",Butler County,OH,Ohio,0.6271001601901931,39017
325,"Butler County, PA",Butler County,PA,Pennsylvania,0.5909730123799631,42019
326,"Butte County, CA",Butte County,CA,California,0.48800468110660145,06007
327,"Butte County, ID",Butte County,ID,Idaho,0.4870132100840336,16023
328,"Butte County, SD",Butte County,SD,South Dakota,0.4009025546218487,46019
329,"Butts County, GA",Butts County,GA,Georgia,0.3981388245743893,13035
330,"Cabarrus County, NC",Cabarrus County,NC,North Carolina,0.6532720162654423,37025
331,"Cabell County, WV",Cabell County,WV,West Virginia,0.463696488905769,54011
332,"Cache County, UT",Cache County,UT,Utah,0.6258086797771367,49005
333,"Caddo County, OK",Caddo County,OK,Oklahoma,0.4099252265978459,40015
334,"Caddo Parish, LA",Caddo Parish,LA,Louisiana,0.38746960189250246,22017
335,"Calaveras County, CA",Calaveras County,CA,California,0.4028935519742224,06009
336,"Calcasieu Parish, LA",Calcasieu Parish,LA,Louisiana,0.5497537164313294,22019
337,"Caldwell County, KY",Caldwell County,KY,Kentucky,0.46087677860100795,21033
338,"Caldwell County, MO",Caldwell County,MO,Missouri,0.3781039940467944,29025
339,"Caldwell County, NC",Caldwell County,NC,North Carolina,0.5186762825867457,37027
340,"Caldwell County, TX",Caldwell County,TX,Texas,0.5179503115299566,48055
341,"Caldwell Parish, LA",Caldwell Parish,LA,Louisiana,0.4231671178639672,22021
342,"Caledonia County, VT",Caledonia County,VT,Vermont,0.448697604899739,50005
343,"Calhoun County, AL",Calhoun County,AL,Alabama,0.4900153612251357,01015
344,"Calhoun County, AR",Calhoun County,AR,Arkansas,0.34293754430269513,05013
345,"Calhoun County, FL",Calhoun County,FL,Florida,0.3514744404580485,12013
346,"Calhoun County, GA",Calhoun County,GA,Georgia,0.33737971066787525,13037
347,"Calhoun County, IA",Calhoun County,IA,Iowa,0.38792764526177875,19025
